game,patch,explosion_key,detonator_type,detonation_type,radius,duration,speed,base_damage,ap_damage,force,ignition_amount,is_magical,affects_allies,contact_phase_effect,shrapnel_key,is_spell
warhammer_3,8.1.1,wh3_main_cth_rocket_explosion,percussive,shockwave,6,0,11,49,21,200,1,false,true,,,false
warhammer_3,8.1.1,wh3_main_kho_skullcannon_skull_explosion,percussive,shockwave,3,1,11,6,14,450,1,false,true,,,false
warhammer_3,8.1.1,wh3_main_ksl_little_grom_cannon_ball_explosive,percussive,shockwave,7,0,12,45,65,350,0,true,true,,,false
warhammer_3,8.1.1,wh3_main_nur_kugath_infested_nurgling_explosion,percussive,shockwave,7,0,11,45,60,180,0,true,true,wh_main_unit_contact_poison,,false
warhammer_3,8.1.1,wh3_main_nur_soulgrinder_bombard_explosion,percussive,shockwave,6,0,12,30,60,180,0,true,true,wh_main_unit_contact_poison,,false
warhammer_3,8.1.1,wh3_main_ogr_gnoblar_scraplauncher_explosion,percussive,shockwave,6,0,12,70,20,150,0,false,true,,,false
warhammer_3,8.1.1,wh3_main_tze_exalted_flamer_flame_explosion,percussive,shockwave,5,0,14,3,7,40,1,true,true,wh3_main_unit_contact_warpflame,,false
warhammer_3,8.1.1,wh3_main_tze_flamer_flame_explosion,percussive,shockwave,3,0,14,3,6,40,1,true,true,,,false
warhammer_3,8.1.1,wh_dlc03_bst_cygor_boulder_explosion,percussive,shockwave,7,0,10,60,100,200,0,false,true,,,false
warhammer_3,8.1.1,wh_dlc07_brt_blessed_stone_explosion,percussive,shockwave,6,0,10,60,16,100,0,true,false,,,false
warhammer_3,8.1.1,wh_dlc08_nor_hellcannon_ice,percussive,shockwave,7,0,12,30,90,350,0,true,true,wh_main_unit_contact_overhead_morale,,false
warhammer_3,8.1.1,wh_main_bound_spell_solheims_bolt_of_illumination,percussive,shockwave,6,1,10,270,630,150,1,true,true,,,false
warhammer_3,8.1.1,wh_main_brt_trebuchet_stone_explosion,percussive,shockwave,4,0,12,50,70,220,0,false,true,,,false
warhammer_3,8.1.1,wh_main_chs_hellcannon,percussive,shockwave,7,0,12,30,90,350,0,true,true,wh_main_unit_contact_overhead_morale,,false
warhammer_3,8.1.1,wh_main_dwf_blasting_charge_explosion,percussive,shockwave,3,0,13,18,4,200,25,false,true,,,false
warhammer_3,8.1.1,wh_main_dwf_cinderblast_explosion,percussive,shockwave,3,0,13,27,11,200,0,false,true,,,false
warhammer_3,8.1.1,wh_main_dwf_clattergun,percussive,shockwave,3,0,10,14,4,80,0,false,true,,,false
warhammer_3,8.1.1,wh_main_dwf_drakegun_explosion,percussive,shockwave,3,0,14,15,6,40,1,false,true,,,false
warhammer_3,8.1.1,wh_main_dwf_flamecannon_explosion,percussive,shockwave,5,0,12,12,5,180,1,false,true,wh_main_unit_contact_morale,,false
warhammer_3,8.1.1,wh_main_dwf_grudge_thrower_explosion,percussive,shockwave,4,0,12,50,70,180,0,false,true,,,false
warhammer_3,8.1.1,wh_main_dwf_gyrocopter_steamgun_explosion,percussive,shockwave,3,0,8,2,4,10,0,false,true,,,false
warhammer_3,8.1.1,wh_main_dwf_trollhammer,percussive,shockwave,1,0,10,4,10,100,0,false,true,,,false
warhammer_3,8.1.1,wh_main_emp_grenade_explosion,percussive,shockwave,3,0,13,34,15,180,25,false,true,,,false
warhammer_3,8.1.1,wh_main_emp_mortar_explosion,percussive,shockwave,6,0,11,60,16,260,0,false,true,,,false
warhammer_3,8.1.1,wh_main_emp_rocket_battery_fuse,fuse,shockwave,5,1,12,35,55,200,1,false,true,,emp_rocket_shrapnel,false
warhammer_3,8.1.1,wh_main_emp_rocket_explosion,percussive,shockwave,6,0,11,22,51,200,0,false,true,,,false
warhammer_3,8.1.1,wh_main_grn_doomdiver_goblin_explosion,percussive,carcass,2,0,10,40,15,100,0,false,true,,,false
warhammer_3,8.1.1,wh_main_grn_rock_lobber_explosion,percussive,shockwave,4,0,12,30,65,180,0,false,true,,,false
warhammer_3,8.1.1,wh_pro04_chs_hellcannon_ror,percussive,shockwave,7,0,12,30,90,350,0,true,true,wh_main_unit_contact_overhead_morale,,false
