game,patch,unit_scale,unit_key,attack_type,component_role,slot,melee_weapon_key,missile_weapon_key,projectile_key,is_default_projectile,ammunition_pool,ammunition,link_source
warhammer_3,8.1.1,ultra,wh3_dlc24_bst_mon_incarnate_elemental_of_beasts,melee,unit,primary,wh3_dlc24_ksl_mon_incarnate_elemental_of_beasts,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc25_bst_inf_pestigors,melee,unit,primary,wh3_dlc25_nur_pestigor_great_axe,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc26_bst_inf_khorngors,melee,unit,primary,wh3_dlc26_kho_khorngor_halberd,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc27_bst_inf_slaangors,melee,unit,primary,wh3_dlc27_slaangors_dual_swords,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc27_bst_mon_chimera,melee,unit,primary,wh3_dlc27_nor_chimera,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc27_bst_mon_chimera_ror,melee,unit,primary,wh3_dlc27_nor_chimera,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc27_bst_mon_preyton,melee,unit,primary,wh3_dlc27_preyton_claws,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc27_bst_mon_preyton_ror,melee,unit,primary,wh3_dlc27_preyton_ror,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_cav_razorgor_chariot_0,melee,unit,primary,wh_dlc03_chs_chariot_razorgor,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_cha_beastlord_0,melee,unit,primary,wh_dlc03_bst_gor_axe_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_cha_beastlord_1,melee,unit,primary,wh2_dlc17_beastlord_razorgor_chariot,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_cha_bray_shaman_beasts_0,melee,unit,primary,wh_dlc03_bst_staff_bray_shaman,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_cha_bray_shaman_beasts_1,melee,unit,primary,wh2_dlc17_bray_shaman_razorgor_chariot,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_cha_bray_shaman_death_0,melee,unit,primary,wh_dlc03_bst_staff_bray_shaman,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_cha_bray_shaman_death_1,melee,unit,primary,wh2_dlc17_bray_shaman_razorgor_chariot,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_cha_bray_shaman_shadows_0,melee,unit,primary,wh_dlc03_bst_staff_bray_shaman,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_cha_bray_shaman_shadows_1,melee,unit,primary,wh2_dlc17_bray_shaman_razorgor_chariot,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_cha_bray_shaman_wild_0,melee,unit,primary,wh_dlc03_bst_staff_bray_shaman,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_cha_bray_shaman_wild_1,melee,unit,primary,wh2_dlc17_bray_shaman_razorgor_chariot,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_cha_gorebull_0,melee,unit,primary,wh_dlc03_bst_gor_axe_gorebull,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_cha_khazrak_one_eye_0,melee,unit,primary,wh_dlc03_bst_gor_axe_hero_khazrak,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_cha_khazrak_one_eye_1,melee,unit,primary,wh2_dlc17_khazrak_razorgor_chariot,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_cha_malagor_the_dark_omen_0,melee,unit,primary,wh_dlc03_bst_staff_hero_malagor,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_feral_manticore,melee,unit,primary,wh_dlc03_bst_manticore,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_bestigor_herd_0,melee,unit,primary,wh_dlc03_bst_bestigor_great_axe,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_centigors_0,melee,unit,primary,wh_dlc03_bst_centigor_spear,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_centigors_1,melee,unit,primary,wh_dlc03_bst_centigor_spear,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_centigors_1,missile,unit,primary,,wh_dlc03_bst_centigor_throwing_axe,wh_dlc03_bst_centigor_throwing_axe,true,primary,14,land_units.primary_missile_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_centigors_2,melee,unit,primary,wh_dlc03_bst_centigor_great_axe,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_chaos_warhounds_0,melee,unit,primary,wh_main_chs_warhound,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_chaos_warhounds_1,melee,unit,primary,wh_main_chs_warhound_poison,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_cygor_0,melee,unit,primary,wh_dlc03_bst_cygor,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_cygor_0,missile,unit,primary,,wh_dlc03_bst_cygor_rock,wh_dlc03_bst_cygor_boulder,true,primary,25,land_units.primary_missile_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_gor_herd_0,melee,unit,primary,wh_dlc03_bst_gor_axe_dual,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_gor_herd_1,melee,unit,primary,wh_dlc03_bst_gor_axe,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_minotaurs_0,melee,unit,primary,wh_dlc03_bst_minotaur_dual_axe,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_minotaurs_1,melee,unit,primary,wh_dlc03_bst_minotaur_axe,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_minotaurs_2,melee,unit,primary,wh_dlc03_bst_minotaur_great_axe,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_razorgor_herd_0,melee,unit,primary,wh_dlc03_bst_razorgor_tusk,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_ungor_herd_1,melee,unit,primary,wh_dlc03_bst_ungor_axe,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_ungor_raiders_0,melee,unit,primary,wh_dlc03_bst_ungor_axe_raiders,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_ungor_raiders_0,missile,unit,primary,,wh_dlc03_bst_ungor_bow,wh_dlc03_bst_ungor_arrow,true,primary,22,land_units.primary_missile_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_ungor_spearmen_0,melee,unit,primary,wh_dlc03_bst_ungor_spear_0,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_inf_ungor_spearmen_1,melee,unit,primary,wh_dlc03_bst_ungor_spear,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_mon_chaos_spawn_0,melee,unit,primary,wh_dlc03_bst_claws_chaos_spawn,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc03_bst_mon_giant_0,melee,unit,primary,wh_main_club_giant,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc05_bst_cha_morghur_0,melee,unit,primary,wh_dlc05_bst_morghur_claws,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc05_bst_mon_harpies_0,melee,unit,primary,wh_dlc05_bst_harpy_claws,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc05_emp_cha_wizard_life_0,melee,unit,primary,wh_main_emp_sword_caster,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc05_emp_cha_wizard_life_1,melee,unit,primary,wh_main_emp_sword_caster,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc05_emp_cha_wizard_life_2,melee,unit,primary,wh_main_emp_sword_caster,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc05_emp_cha_wizard_life_3,melee,unit,primary,wh_main_emp_sword_caster,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_art_blessed_field_trebuchet_0,melee,unit,primary,wh_main_brt_hammer,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_art_blessed_field_trebuchet_0,missile,engine,engine,,wh_dlc07_brt_blessed_trebuchet,wh_dlc07_brt_trebuchet_blessed_stone,true,primary,25,battlefield_engines.missile_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cav_grail_guardians_0,melee,unit,primary,wh_dlc07_brt_sword_grail_guardian,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cav_knights_errant_0,melee,unit,primary,wh_dlc07_brt_lance_errant,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cav_questing_knights_0,melee,unit,primary,wh_dlc07_brt_sword_great_questing,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cav_royal_hippogryph_knights_0,melee,unit,primary,wh_dlc07_brt_hippogryph_knight,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cav_royal_pegasus_knights_0,melee,unit,primary,wh_dlc07_brt_lance_royal_pegasus_knights,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_damsel_beasts_0,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_damsel_beasts_1,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_damsel_beasts_2,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_damsel_life_0,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_damsel_life_1,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_damsel_life_2,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_fay_enchantress_0,melee,unit,primary,wh_dlc07_brt_caster_fay,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_fay_enchantress_1,melee,unit,primary,wh_dlc07_brt_caster_fay,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_green_knight_0,melee,unit,primary,wh_dlc07_brt_sword_green_knight,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_prophetess_0,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_prophetess_1,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_prophetess_2,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_prophetess_3,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_prophetess_beasts_0,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_prophetess_beasts_1,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_prophetess_beasts_2,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_prophetess_beasts_3,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_prophetess_heavens_0,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_prophetess_heavens_1,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_prophetess_heavens_2,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_cha_prophetess_heavens_3,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_inf_battle_pilgrims_0,melee,unit,primary,wh_dlc07_brt_sword_pilgrim,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_inf_foot_squires_0,melee,unit,primary,wh_dlc07_brt_squire_sword_great,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_inf_grail_reliquae_0,melee,unit,primary,wh_dlc07_brt_grail_reliquae,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_inf_men_at_arms_1,melee,unit,primary,wh_dlc07_brt_sword,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_inf_men_at_arms_2,melee,unit,primary,wh_dlc07_brt_sword,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_inf_peasant_bowmen_1,melee,unit,primary,wh_main_brt_sword_short,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_inf_peasant_bowmen_1,missile,unit,primary,,wh_dlc07_brt_longbow_fire,wh_brt_longbow_arrow_fire,true,primary,22,land_units.primary_missile_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_inf_peasant_bowmen_2,melee,unit,primary,wh_main_brt_sword_short,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_inf_peasant_bowmen_2,missile,unit,primary,,wh_dlc07_brt_longbow_pox,wh_brt_longbow_arrow_pox,true,primary,22,land_units.primary_missile_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_inf_spearmen_at_arms_1,melee,unit,primary,wh_main_brt_spear,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_dlc07_brt_peasant_mob_0,melee,unit,primary,wh_dlc07_brt_peasant_tool,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_art_field_trebuchet,melee,unit,primary,wh_main_brt_hammer,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_art_field_trebuchet,missile,engine,engine,,wh_main_brt_trebuchet,wh_brt_trebuchet_stone,true,primary,22,battlefield_engines.missile_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cav_grail_knights,melee,unit,primary,wh_main_brt_lance_grail_knight,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cav_knights_of_the_realm,melee,unit,primary,wh_main_brt_lance,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cav_mounted_yeomen_0,melee,unit,primary,wh_main_brt_cavalry_spear,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cav_mounted_yeomen_1,melee,unit,primary,wh_main_brt_sword_yeomen_archers,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cav_mounted_yeomen_1,missile,unit,primary,,wh_main_brt_horse_bow,wh_brt_arrow_horse,true,primary,18,land_units.primary_missile_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cav_pegasus_knights,melee,unit,primary,wh_main_brt_lance_pegasus_knights,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cha_damsel_0,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cha_damsel_1,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cha_damsel_2,melee,unit,primary,wh_main_brt_sword_caster_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cha_king_louen_leoncoeur_0,melee,unit,primary,wh_dlc07_brt_sword_louen,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cha_king_louen_leoncoeur_1,melee,unit,primary,wh_main_brt_hippogryph_louen_beaquis,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cha_king_louen_leoncoeur_2,melee,unit,primary,wh_dlc07_brt_sword_louen,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cha_king_louen_leoncoeur_3,melee,unit,primary,wh_dlc07_brt_sword_louen,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cha_king_louen_leoncoeur_4,melee,unit,primary,wh_main_brt_hippogryph_louen,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cha_lord_0,melee,unit,primary,wh_main_brt_sword_hero_lord,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cha_lord_2,melee,unit,primary,wh_main_brt_hippogryph,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cha_lord_3,melee,unit,primary,wh_main_brt_sword_hero_lord,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cha_lord_4,melee,unit,primary,wh_main_brt_sword_hero_lord,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cha_paladin_0,melee,unit,primary,wh_main_brt_sword_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cha_paladin_3,melee,unit,primary,wh_main_brt_sword_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_cha_paladin_4,melee,unit,primary,wh_main_brt_sword_hero,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_inf_men_at_arms,melee,unit,primary,wh_main_brt_halberd,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_inf_peasant_bowmen,melee,unit,primary,wh_main_brt_sword_short,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_inf_peasant_bowmen,missile,unit,primary,,wh_main_brt_longbow,wh_brt_longbow_arrow,true,primary,22,land_units.primary_missile_weapon
warhammer_3,8.1.1,ultra,wh_main_brt_inf_spearmen_at_arms,melee,unit,primary,wh_main_brt_spear,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cav_bull_centaurs_axe,melee,unit,primary,wh2_dlc23_chd_bull_centaur_axe,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cav_bull_centaurs_dual_axe,melee,unit,primary,wh2_dlc23_chd_bull_centaur_dual_axe,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cav_bull_centaurs_dual_axe_ror,melee,unit,primary,wh2_dlc23_chd_bull_centaur_dual_axe,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cav_bull_centaurs_dual_axe_ror,missile,unit,primary,,wh3_dlc23_chd_bull_centaur_throwing_axe_ror,wh3_dlc23_chd_bull_centaur_throwing_axe_ror,true,primary,10,land_units.primary_missile_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cav_bull_centaurs_greatweapons,melee,unit,primary,wh2_dlc23_chd_bull_centaur_great_axe,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_bows,melee,unit,primary,wh3_dlc23_chd_hobgoblin_wolf_raider_sword,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_bows,missile,unit,primary,,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_bow,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_arrow,true,primary,20,land_units.primary_missile_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_ror,melee,unit,primary,wh3_dlc23_chd_hobgoblin_wolf_raider_spear,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_ror,missile,unit,primary,,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_bow_ror,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_arrow_ror,true,primary,20,land_units.primary_missile_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_spears,melee,unit,primary,wh3_dlc23_chd_hobgoblin_wolf_raider_spear,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cha_astragoth_ironhand,melee,unit,primary,wh3_dlc23_chd_cha_astragoth_ironhand,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cha_bull_centaur_taurruk,melee,unit,primary,wh2_dlc23_chd_bull_centaur_taurruk_great_axe,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cha_convoy_overseer,melee,unit,primary,wh3_dlc23_chd_cha_overseer,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cha_daemonsmith_sorcerer_death,melee,unit,primary,wh3_dlc23_chd_cha_daemonsmith,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cha_daemonsmith_sorcerer_death,missile,unit,primary,,wh3_dlc23_chd_cha_pistol_flare,wh3_dlc23_chd_cha_pistol_flare,true,primary,45,land_units.primary_missile_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cha_daemonsmith_sorcerer_death_bale_taurus,melee,unit,primary,wh3_dlc23_chd_mon_bale_taurus,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cha_daemonsmith_sorcerer_death_bale_taurus,missile,unit,primary,,wh3_dlc23_chd_cha_pistol_flare,wh3_dlc23_chd_cha_pistol_flare,true,primary,45,land_units.primary_missile_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cha_daemonsmith_sorcerer_death_great_taurus,melee,unit,primary,wh3_dlc23_chd_mon_great_taurus,,,,,,land_units.primary_melee_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cha_daemonsmith_sorcerer_death_great_taurus,missile,unit,primary,,wh3_dlc23_chd_cha_pistol_flare,wh3_dlc23_chd_cha_pistol_flare,true,primary,45,land_units.primary_missile_weapon
warhammer_3,8.1.1,ultra,wh3_dlc23_chd_cha_daemonsmith_sorcerer_death_lammasu,melee,unit,primary,wh3_dlc23_chd_mon_lammasu,,,,,,land_units.primary_melee_weapon
