dataset,column_position,column_name,data_type,required,description
characters/<race>/<character>.csv,43,skill_max_level,number,false,"Highest level found across level-detail, effect, lock, and grant records for this skill."
characters/<race>/<character>.csv,44,skill_level,number,false,One-based skill rank for level-dependent rows.
characters/<race>/<character>.csv,45,level_name,text,false,level name
characters/<race>/<character>.csv,46,level_description,text,false,level description
characters/<race>/<character>.csv,47,level_unlocked_at_rank,number,false,level unlocked at rank
characters/<race>/<character>.csv,48,level_image_path,text,false,level image path
characters/<race>/<character>.csv,49,level_campaign_key,text,false,level campaign key
characters/<race>/<character>.csv,50,level_faction_key,text,false,level faction key
characters/<race>/<character>.csv,51,level_subculture_key,text,false,level subculture key
characters/<race>/<character>.csv,52,effect_key,text,false,effect key
characters/<race>/<character>.csv,53,effect_description,text,false,effect description
characters/<race>/<character>.csv,54,effect_additional_tooltip,text,false,effect additional tooltip
characters/<race>/<character>.csv,55,effect_scope,text,false,Game effect scope such as character_to_character_own or faction_to_faction_own.
characters/<race>/<character>.csv,56,effect_value,number,false,Signed source value applied at this skill level and scope.
characters/<race>/<character>.csv,57,effect_category,text,false,effect category
characters/<race>/<character>.csv,58,effect_priority,number,false,effect priority
characters/<race>/<character>.csv,59,effect_is_positive_value_good,boolean,false,effect is positive value good
characters/<race>/<character>.csv,60,effect_icon,text,false,effect icon
characters/<race>/<character>.csv,61,effect_icon_negative,text,false,effect icon negative
characters/<race>/<character>.csv,62,parent_node_key,text,false,Parent/prerequisite node for prerequisite rows.
characters/<race>/<character>.csv,63,parent_skill_key,text,false,parent skill key
characters/<race>/<character>.csv,64,parent_skill_name,text,false,parent skill name
characters/<race>/<character>.csv,65,child_node_key,text,false,Child/unlocked node for prerequisite rows.
characters/<race>/<character>.csv,66,child_skill_key,text,false,child skill key
characters/<race>/<character>.csv,67,child_skill_name,text,false,child skill name
characters/<race>/<character>.csv,68,link_type,text,false,link type
characters/<race>/<character>.csv,69,initial_descent_tiers,number,false,initial descent tiers
characters/<race>/<character>.csv,70,parent_link_position,text,false,parent link position
characters/<race>/<character>.csv,71,child_link_position,text,false,child link position
characters/<race>/<character>.csv,72,parent_link_position_offset,number,false,parent link position offset
characters/<race>/<character>.csv,73,child_link_position_offset,number,false,child link position offset
characters/<race>/<character>.csv,74,locked_skill_key,text,false,Skill disabled or mutually excluded by the current node.
characters/<race>/<character>.csv,75,locked_skill_name,text,false,locked skill name
characters/<race>/<character>.csv,76,locked_skill_level,number,false,locked skill level
characters/<race>/<character>.csv,77,ancillary_key,text,false,Ancillary locked or granted by this node/skill depending on record_type.
characters/<race>/<character>.csv,78,ancillary_name,text,false,ancillary name
characters/<race>/<character>.csv,79,ancillary_type,text,false,ancillary type
characters/<race>/<character>.csv,80,ancillary_category,text,false,ancillary category
characters/<race>/<character>.csv,81,dilemma_key,text,false,Dilemma granted by this skill level.
characters/<race>/<character>.csv,82,dilemma_title,text,false,dilemma title
characters/<race>/<character>.csv,83,dilemma_random_selection,boolean,false,dilemma random selection
characters/<race>/<character>.csv,84,source_table,text,true,Authoritative source table for this record.
characters/<race>/<character>.csv,85,source_key,text,true,Stable source-row identifier or composite key.
